sbj	stim	rt	key	pos	uhnd	hndns	eye	sex	age	edu
8101992752	20.bmp	0.6095107	w	4	l	r	l	m	25	3
8101992752	80.bmp	0.4639318	w	4	l	r	l	m	25	3
8101992752	50.bmp	0.6051391	w	12	l	r	l	m	25	3
8101992752	10.bmp	0.6419199	w	1	l	r	l	m	25	3
8101992752	30.bmp	0.5898651	w	2	l	r	l	m	25	3
8101992752	70.bmp	0.5495692	w	11	l	r	l	m	25	3
8101992752	40.bmp	0.661312	o	9	r	r	l	m	25	3
8101992752	70.bmp	0.7562745	o	7	r	r	l	m	25	3
8101992752	70.bmp	0.4870781	o	6	r	r	l	m	25	3
8101992752	30.bmp	0.5656777	p	12	r	r	l	m	25	3
8101992752	40.bmp	0.6206581	o	4	r	r	l	m	25	3
8101992752	60.bmp	0.5332974	o	9	r	r	l	m	25	3
8101992752	30.bmp	0.5153019	o	6	r	r	l	m	25	3
8101992752	40.bmp	0.4296734	o	7	r	r	l	m	25	3
8101992752	80.bmp	0.5520285	p	2	r	r	l	m	25	3
8101992752	10.bmp	0.5774847	p	10	r	r	l	m	25	3
8101992752	60.bmp	0.3731761	o	3	r	r	l	m	25	3
8101992752	70.bmp	0.7466876	p	5	r	r	l	m	25	3
8101992752	50.bmp	0.4896736	o	7	r	r	l	m	25	3
8101992752	80.bmp	0.4064478	o	6	r	r	l	m	25	3
8101992752	40.bmp	0.5142443	o	10	r	r	l	m	25	3
8101992752	60.bmp	0.4064951	p	13	r	r	l	m	25	3
8101992752	70.bmp	0.5932515	o	3	r	r	l	m	25	3
8101992752	20.bmp	0.5455705	o	9	r	r	l	m	25	3
8101992752	50.bmp	0.5059341	o	2	r	r	l	m	25	3
8101992752	50.bmp	0.3971297	o	3	r	r	l	m	25	3
8101992752	0.bmp	0.4305914	o	8	r	r	l	m	25	3
8101992752	80.bmp	0.3423842	p	5	r	r	l	m	25	3
8101992752	50.bmp	0.4388587	p	13	r	r	l	m	25	3
8101992752	60.bmp	0.4810119	p	6	r	r	l	m	25	3
8101992752	10.bmp	0.4675743	o	4	r	r	l	m	25	3
8101992752	50.bmp	0.5526266	p	12	r	r	l	m	25	3
8101992752	20.bmp	0.4761821	p	13	r	r	l	m	25	3
8101992752	20.bmp	0.5259661	p	7	r	r	l	m	25	3
8101992752	60.bmp	0.4809334	o	10	r	r	l	m	25	3
8101992752	20.bmp	0.6805267	p	10	r	r	l	m	25	3
8101992752	30.bmp	0.8721623	p	9	r	r	l	m	25	3
8101992752	30.bmp	0.6570077	p	5	r	r	l	m	25	3
8101992752	30.bmp	0.4109876	p	11	r	r	l	m	25	3
8101992752	60.bmp	0.5474759	o	8	r	r	l	m	25	3
8101992752	20.bmp	0.4704172	p	4	r	r	l	m	25	3
8101992752	50.bmp	0.6322115	p	10	r	r	l	m	25	3
8101992752	80.bmp	0.4197431	p	10	r	r	l	m	25	3
8101992752	40.bmp	0.5487599	p	8	r	r	l	m	25	3
8101992752	30.bmp	0.4949975	p	10	r	r	l	m	25	3
