sbj,stm,rt,key,pos,uhnd,hndns,eye,sex,age,edu
8101992751,10.bmp,0.4367334,p,2,r,r,r,m,23,3
8101992751,70.bmp,0.2998453,o,4,r,r,r,m,23,3
8101992751,40.bmp,0.3242441,p,7,r,r,r,m,23,3
8101992751,30.bmp,0.2864798,o,11,r,r,r,m,23,3
8101992751,20.bmp,0.3570511,p,11,r,r,r,m,23,3
8101992751,0.bmp,0.3168004,o,6,r,r,r,m,23,3
8101992751,70.bmp,0.3194022,p,6,r,r,r,m,23,3
8101992751,80.bmp,0.2870895,o,6,r,r,r,m,23,3
8101992751,10.bmp,0.4471106,p,8,r,r,r,m,23,3
8101992751,40.bmp,0.4154004,o,3,r,r,r,m,23,3
8101992751,20.bmp,1.2264189,w,12,l,r,r,m,23,3
8101992751,20.bmp,1.1402002,w,10,l,r,r,m,23,3
8101992751,20.bmp,1.0011603,w,13,l,r,r,m,23,3
8101992751,40.bmp,1.1399697,w,4,l,r,r,m,23,3
8101992751,70.bmp,0.8355153,q,13,l,r,r,m,23,3
8101992751,10.bmp,1.0496499,q,13,l,r,r,m,23,3
8101992751,10.bmp,1.1424222,q,3,l,r,r,m,23,3
8101992751,10.bmp,0.8063022,q,5,l,r,r,m,23,3
8101992751,0.bmp,2.9928981,q,4,l,r,r,m,23,3
8101992751,70.bmp,1.2927723,q,6,l,r,r,m,23,3
8101992751,50.bmp,0.9161794,w,2,l,r,r,m,23,3
8101992751,30.bmp,0.8565383,w,10,l,r,r,m,23,3
8101992751,50.bmp,1.057734,q,6,l,r,r,m,23,3
8101992751,60.bmp,0.9999235,w,8,l,r,r,m,23,3
8101992751,80.bmp,2.4846998,w,2,l,r,r,m,23,3
8101992751,30.bmp,1.2842033,q,6,l,r,r,m,23,3
8101992751,0.bmp,1.2909321,q,13,l,r,r,m,23,3
8101992751,60.bmp,0.9240393,q,7,l,r,r,m,23,3
8101992751,0.bmp,1.6011111,w,7,l,r,r,m,23,3
8101992751,30.bmp,1.1861147,w,7,l,r,r,m,23,3
8101992751,60.bmp,1.7633565,w,3,l,r,r,m,23,3
8101992751,30.bmp,1.0871449,w,3,l,r,r,m,23,3
8101992751,20.bmp,0.8704656,w,9,l,r,r,m,23,3
8101992751,70.bmp,1.2658458,w,2,l,r,r,m,23,3
8101992751,60.bmp,1.2361073,q,2,l,r,r,m,23,3
8101992751,70.bmp,0.7396167,w,12,l,r,r,m,23,3
8101992751,30.bmp,0.7583815,q,4,l,r,r,m,23,3
8101992751,70.bmp,1.2949714,w,1,l,r,r,m,23,3
8101992751,60.bmp,1.3193115,q,6,l,r,r,m,23,3
8101992751,40.bmp,0.6221982,w,7,l,r,r,m,23,3
8101992751,70.bmp,0.4837681,q,5,l,r,r,m,23,3
8101992751,80.bmp,0.3944584,w,6,l,r,r,m,23,3
8101992751,10.bmp,0.4754656,w,8,l,r,r,m,23,3
8101992751,50.bmp,0.3908985,q,1,l,r,r,m,23,3
8101992751,40.bmp,0.2624535,w,13,l,r,r,m,23,3
8101992751,0.bmp,0.2990282,q,5,l,r,r,m,23,3
8101992751,0.bmp,0.3169773,w,10,l,r,r,m,23,3
8101992751,50.bmp,0.1531392,q,5,l,r,r,m,23,3
8101992751,70.bmp,0.3606014,q,11,l,r,r,m,23,3
8101992751,30.bmp,0.3228469,w,11,l,r,r,m,23,3
8101992751,0.bmp,0.646065,q,2,l,r,r,m,23,3
8101992751,0.bmp,0.5063813,w,11,l,r,r,m,23,3
8101992751,50.bmp,0.5782467,q,7,l,r,r,m,23,3
8101992751,0.bmp,0.7099348,w,9,l,r,r,m,23,3
8101992751,70.bmp,0.5811621,q,4,l,r,r,m,23,3
8101992751,80.bmp,0.7386443,w,13,l,r,r,m,23,3
8101992751,0.bmp,0.5973427,q,12,l,r,r,m,23,3
8101992751,0.bmp,1.4516866,w,8,l,r,r,m,23,3
8101992751,50.bmp,0.8707371,w,8,l,r,r,m,23,3
8101992751,60.bmp,1.6805011,q,9,l,r,r,m,23,3
8101992751,70.bmp,1.0815187,w,8,l,r,r,m,23,3
8101992751,40.bmp,0.9260974,q,11,l,r,r,m,23,3
8101992751,80.bmp,1.1873563,w,8,l,r,r,m,23,3
8101992751,40.bmp,1.1600239,w,8,l,r,r,m,23,3
8101992751,70.bmp,0.9933454,w,7,l,r,r,m,23,3
8101992751,10.bmp,0.6680528,q,6,l,r,r,m,23,3
8101992751,40.bmp,1.0438392,q,2,l,r,r,m,23,3
8101992751,20.bmp,1.069728,q,7,l,r,r,m,23,3
8101992751,60.bmp,1.2285591,w,10,l,r,r,m,23,3
8101992751,40.bmp,0.723923,q,6,l,r,r,m,23,3
8101992751,20.bmp,0.7318128,q,11,l,r,r,m,23,3
8101992751,50.bmp,0.8802902,w,11,l,r,r,m,23,3
8101992751,50.bmp,0.6644287,q,9,l,r,r,m,23,3
8101992751,50.bmp,1.3070793,w,10,l,r,r,m,23,3
8101992751,40.bmp,1.3763832,q,9,l,r,r,m,23,3
8101992751,80.bmp,1.0005786,w,3,l,r,r,m,23,3
8101992751,30.bmp,1.6570265,q,2,l,r,r,m,23,3
8101992751,40.bmp,1.4171425,w,5,l,r,r,m,23,3
8101992751,80.bmp,1.8644704,q,1,l,r,r,m,23,3
8101992751,20.bmp,0.7935946,w,1,l,r,r,m,23,3
8101992751,10.bmp,2.5500457,w,2,l,r,r,m,23,3
8101992751,30.bmp,1.1847885,q,8,l,r,r,m,23,3
8101992751,60.bmp,0.9633504,q,11,l,r,r,m,23,3
8101992751,0.bmp,0.8118257,w,1,l,r,r,m,23,3
8101992751,70.bmp,0.9852863,q,10,l,r,r,m,23,3
8101992751,70.bmp,1.3755088,q,3,l,r,r,m,23,3
8101992751,10.bmp,1.2386162,w,7,l,r,r,m,23,3
8101992751,10.bmp,0.9541931,q,4,l,r,r,m,23,3
8101992751,10.bmp,0.7978125,w,9,l,r,r,m,23,3
8101992751,50.bmp,0.7433386,w,3,l,r,r,m,23,3
8101992751,60.bmp,0.9478379,w,13,l,r,r,m,23,3
8101992751,0.bmp,0.7911785,q,6,l,r,r,m,23,3
8101992751,20.bmp,0.8792054,w,5,l,r,r,m,23,3
8101992751,20.bmp,1.0222468,w,4,l,r,r,m,23,3
8101992751,80.bmp,1.6130432,w,4,l,r,r,m,23,3
8101992751,30.bmp,0.9234439,w,13,l,r,r,m,23,3
8101992751,30.bmp,0.8896216,q,12,l,r,r,m,23,3
8101992751,80.bmp,1.2229695,w,9,l,r,r,m,23,3
8101992751,10.bmp,1.9390093,q,12,l,r,r,m,23,3
8101992751,80.bmp,3.263449,w,12,l,r,r,m,23,3
8101992751,60.bmp,3.3779126,q,4,l,r,r,m,23,3
8101992751,0.bmp,2.108114,w,3,l,r,r,m,23,3
8101992751,60.bmp,1.6021716,q,12,l,r,r,m,23,3
8101992751,30.bmp,1.0234022,w,5,l,r,r,m,23,3
8101992751,10.bmp,1.2130237,q,11,l,r,r,m,23,3
8101992751,80.bmp,1.1651789,q,11,l,r,r,m,23,3
8101992751,80.bmp,0.6948627,w,10,l,r,r,m,23,3
8101992751,80.bmp,0.9360529,q,7,l,r,r,m,23,3
8101992751,50.bmp,0.7893708,w,13,l,r,r,m,23,3
8101992751,10.bmp,0.8264319,q,1,l,r,r,m,23,3
8101992751,30.bmp,0.7016746,w,9,l,r,r,m,23,3
8101992751,20.bmp,0.7852546,q,8,l,r,r,m,23,3
8101992751,40.bmp,0.920341,w,1,l,r,r,m,23,3
8101992751,50.bmp,0.8038579,q,12,l,r,r,m,23,3
8101992751,60.bmp,0.7610489,w,1,l,r,r,m,23,3
8101992751,60.bmp,0.8995361,w,5,l,r,r,m,23,3
8101992751,40.bmp,0.8863071,w,12,l,r,r,m,23,3
8101992751,40.bmp,0.7281804,q,3,l,r,r,m,23,3
8101992751,10.bmp,0.795374,w,10,l,r,r,m,23,3
8101992751,50.bmp,0.8373237,q,4,l,r,r,m,23,3
8101992751,20.bmp,0.7808308,w,2,l,r,r,m,23,3
8101992751,40.bmp,0.8681387,w,10,l,r,r,m,23,3
8101992751,30.bmp,0.8213871,q,1,l,r,r,m,23,3
8101992751,20.bmp,0.9516877,q,6,l,r,r,m,23,3
8101992751,80.bmp,0.8804501,q,5,l,r,r,m,23,3
8101992751,20.bmp,0.918068,w,3,l,r,r,m,23,3
8101992751,70.bmp,1.0392117,q,9,l,r,r,m,23,3
8101992751,30.bmp,1.041286,w,9,l,r,r,m,23,3
8101992751,80.bmp,0.8168972,w,9,l,r,r,m,23,3
8101992751,30.bmp,0.8192826,w,10,l,r,r,m,23,3
8101992751,10.bmp,0.8902013,q,7,l,r,r,m,23,3
8101992751,0.bmp,1.8344156,w,11,l,r,r,m,23,3
8101992751,40.bmp,0.9633453,w,2,l,r,r,m,23,3
8101992751,0.bmp,1.5921622,w,10,l,r,r,m,23,3
